t,popsize,poptype,poplocation
21.6634,4.77987,N1,Wall
21.6634,18.1512,N0,Lumen
21.6634,3.22142,N1,Lumen
21.7565,18.4101,N0,Wall
21.7565,4.81148,N1,Wall
21.7565,18.3784,N0,Lumen
21.7565,3.23767,N1,Lumen
21.8493,18.6398,N0,Wall
21.8493,4.84316,N1,Wall
21.8493,18.6076,N0,Lumen
21.8493,3.25393,N1,Lumen
21.9417,18.8713,N0,Wall
21.9417,4.87491,N1,Wall
21.9417,18.8386,N0,Lumen
21.9417,3.27021,N1,Lumen
22.0338,19.1048,N0,Wall
22.0338,4.90674,N1,Wall
22.0338,19.0715,N0,Lumen
22.0338,3.2865,N1,Lumen
22.1254,19.3401,N0,Wall
22.1254,4.93863,N1,Wall
22.1254,19.3063,N0,Lumen
22.1254,3.30281,N1,Lumen
22.2167,19.5774,N0,Wall
22.2167,4.9706,N1,Wall
22.2167,19.543,N0,Lumen
22.2167,3.31913,N1,Lumen
22.3076,19.8167,N0,Wall
22.3076,5.00264,N1,Wall
22.3076,19.7817,N0,Lumen
22.3076,3.33547,N1,Lumen
22.3982,20.0578,N0,Wall
22.3982,5.03475,N1,Wall
22.3982,20.0222,N0,Lumen
22.3982,3.35182,N1,Lumen
22.4884,20.3009,N0,Wall
22.4884,5.06694,N1,Wall
22.4884,20.2648,N0,Lumen
22.4884,3.36818,N1,Lumen
22.5782,20.546,N0,Wall
22.5782,5.09919,N1,Wall
22.5782,20.5092,N0,Lumen
22.5782,3.38456,N1,Lumen
22.6677,20.793,N0,Wall
22.6677,5.13152,N1,Wall
22.6677,20.7557,N0,Lumen
22.6677,3.40095,N1,Lumen
22.7568,21.042,N0,Wall
22.7568,5.16391,N1,Wall
22.7568,21.004,N0,Lumen
22.7568,3.41735,N1,Lumen
22.8456,21.293,N0,Wall
22.8456,5.19638,N1,Wall
22.8456,21.2544,N0,Lumen
22.8456,3.43377,N1,Lumen
22.934,21.5459,N0,Wall
22.934,5.22892,N1,Wall
22.934,21.5067,N0,Lumen
22.934,3.45021,N1,Lumen
23.022,21.8009,N0,Wall
23.022,5.26153,N1,Wall
23.022,21.7611,N0,Lumen
23.022,3.46665,N1,Lumen
23.1097,22.0578,N0,Wall
23.1097,5.29421,N1,Wall
23.1097,22.0174,N0,Lumen
23.1097,3.48311,N1,Lumen
23.1971,22.3168,N0,Wall
23.1971,5.32695,N1,Wall
23.1971,22.2757,N0,Lumen
23.1971,3.49959,N1,Lumen
23.2842,22.5777,N0,Wall
23.2842,5.35977,N1,Wall
23.2842,22.536,N0,Lumen
23.2842,3.51607,N1,Lumen
23.3709,22.8407,N0,Wall
23.3709,5.39266,N1,Wall
23.3709,22.7984,N0,Lumen
23.3709,3.53257,N1,Lumen
23.4572,23.1058,N0,Wall
23.4572,5.42562,N1,Wall
23.4572,23.0628,N0,Lumen
23.4572,3.54909,N1,Lumen
23.5433,23.3728,N0,Wall
23.5433,5.45865,N1,Wall
23.5433,23.3292,N0,Lumen
23.5433,3.56562,N1,Lumen
23.629,23.6419,N0,Wall
23.629,5.49174,N1,Wall
23.629,23.5976,N0,Lumen
23.629,3.58216,N1,Lumen
23.7144,23.9131,N0,Wall
23.7144,5.52491,N1,Wall
23.7144,23.8681,N0,Lumen
23.7144,3.59871,N1,Lumen
23.7994,24.1863,N0,Wall
23.7994,5.55815,N1,Wall
23.7994,24.1406,N0,Lumen
23.7994,3.61528,N1,Lumen
23.8842,24.4616,N0,Wall
23.8842,5.59145,N1,Wall
23.8842,24.4153,N0,Lumen
23.8842,3.63186,N1,Lumen
23.9686,24.739,N0,Wall
23.9686,5.62482,N1,Wall
23.9686,24.6919,N0,Lumen
23.9686,3.64846,N1,Lumen
24.0527,25.0185,N0,Wall
24.0527,5.65827,N1,Wall
24.0527,24.9707,N0,Lumen
24.0527,3.66506,N1,Lumen
24.1365,25.3,N0,Wall
24.1365,5.69178,N1,Wall
24.1365,25.2515,N0,Lumen
24.1365,3.68169,N1,Lumen
24.22,25.5837,N0,Wall
24.22,5.72536,N1,Wall
24.22,25.5345,N0,Lumen
24.22,3.69832,N1,Lumen
24.3031,25.8694,N0,Wall
24.3031,5.759,N1,Wall
24.3031,25.8195,N0,Lumen
24.3031,3.71497,N1,Lumen
24.386,26.1573,N0,Wall
24.386,5.79272,N1,Wall
24.386,26.1067,N0,Lumen
24.386,3.73163,N1,Lumen
24.4686,26.4473,N0,Wall
24.4686,5.82651,N1,Wall
24.4686,26.396,N0,Lumen
24.4686,3.7483,N1,Lumen
24.5508,26.7395,N0,Wall
24.5508,5.86036,N1,Wall
24.5508,26.6874,N0,Lumen
24.5508,3.76499,N1,Lumen
24.6328,27.0337,N0,Wall
24.6328,5.89428,N1,Wall
24.6328,26.9809,N0,Lumen
24.6328,3.78169,N1,Lumen
24.7144,27.3302,N0,Wall
24.7144,5.92827,N1,Wall
24.7144,27.2766,N0,Lumen
24.7144,3.7984,N1,Lumen
24.7958,27.6288,N0,Wall
24.7958,5.96232,N1,Wall
24.7958,27.5744,N0,Lumen
24.7958,3.81512,N1,Lumen
24.8769,27.9295,N0,Wall
24.8769,5.99644,N1,Wall
24.8769,27.8744,N0,Lumen
24.8769,3.83186,N1,Lumen
24.9576,28.2324,N0,Wall
24.9576,6.03063,N1,Wall
24.9576,28.1765,N0,Lumen
24.9576,3.84861,N1,Lumen
25.0381,28.5375,N0,Wall
25.0381,6.06489,N1,Wall
25.0381,28.4809,N0,Lumen
25.0381,3.86538,N1,Lumen
25.1183,28.8448,N0,Wall
25.1183,6.09922,N1,Wall
25.1183,28.7874,N0,Lumen
25.1183,3.88215,N1,Lumen
25.1982,29.1543,N0,Wall
25.1982,6.13361,N1,Wall
25.1982,29.0961,N0,Lumen
25.1982,3.89894,N1,Lumen
25.2779,29.466,N0,Wall
