time,size,population,location
5.76738,0,AB,Wall
5.76738,15.9792,R,Lumen
5.76738,2.57289,N0,Lumen
5.76738,4.29392e-05,N1,Lumen
5.76738,29.99,AB,Lumen
5.81744,15.9562,R,Wall
5.81744,7.23949,N0,Wall
5.81744,5.38098e-05,N1,Wall
5.81744,0,AB,Wall
5.81744,15.979,R,Lumen
5.81744,2.59408,N0,Lumen
5.81744,4.34857e-05,N1,Lumen
5.81744,29.9899,AB,Lumen
5.86723,15.9554,R,Wall
5.86723,7.36311,N0,Wall
5.86723,5.45875e-05,N1,Wall
5.86723,0,AB,Wall
5.86723,15.9787,R,Lumen
5.86723,2.61532,N0,Lumen
5.86723,4.4036e-05,N1,Lumen
5.86723,29.9898,AB,Lumen
5.91674,15.9546,R,Wall
5.91674,7.48812,N0,Wall
5.91674,5.53719e-05,N1,Wall
5.91674,0,AB,Wall
5.91674,15.9785,R,Lumen
5.91674,2.63661,N0,Lumen
5.91674,4.45902e-05,N1,Lumen
5.91674,29.9897,AB,Lumen
5.96597,15.9538,R,Wall
5.96597,7.61454,N0,Wall
5.96597,5.61631e-05,N1,Wall
5.96597,0,AB,Wall
5.96597,15.9783,R,Lumen
5.96597,2.65795,N0,Lumen
5.96597,4.51482e-05,N1,Lumen
5.96597,29.9896,AB,Lumen
6.01493,15.953,R,Wall
6.01493,7.74238,N0,Wall
6.01493,5.69611e-05,N1,Wall
6.01493,0,AB,Wall
6.01493,15.9781,R,Lumen
6.01493,2.67935,N0,Lumen
6.01493,4.571e-05,N1,Lumen
6.01493,29.9895,AB,Lumen
6.06362,15.9522,R,Wall
6.06362,7.87164,N0,Wall
6.06362,5.77659e-05,N1,Wall
6.06362,0,AB,Wall
6.06362,15.9779,R,Lumen
6.06362,2.7008,N0,Lumen
6.06362,4.62756e-05,N1,Lumen
6.06362,29.9894,AB,Lumen
6.11204,15.9513,R,Wall
6.11204,8.00233,N0,Wall
6.11204,5.85775e-05,N1,Wall
6.11204,0,AB,Wall
6.11204,15.9777,R,Lumen
6.11204,2.72231,N0,Lumen
6.11204,4.68451e-05,N1,Lumen
6.11204,29.9893,AB,Lumen
6.16021,15.9505,R,Wall
6.16021,8.13446,N0,Wall
6.16021,5.9396e-05,N1,Wall
6.16021,0,AB,Wall
6.16021,15.9774,R,Lumen
6.16021,2.74386,N0,Lumen
6.16021,4.74185e-05,N1,Lumen
6.16021,29.9892,AB,Lumen
6.20811,15.9496,R,Wall
6.20811,8.26804,N0,Wall
6.20811,6.02213e-05,N1,Wall
6.20811,0,AB,Wall
6.20811,15.9772,R,Lumen
6.20811,2.76547,N0,Lumen
6.20811,4.79957e-05,N1,Lumen
6.20811,29.9891,AB,Lumen
6.25575,15.9488,R,Wall
6.25575,8.40308,N0,Wall
6.25575,6.10535e-05,N1,Wall
6.25575,0,AB,Wall
6.25575,15.977,R,Lumen
6.25575,2.78714,N0,Lumen
6.25575,4.85768e-05,N1,Lumen
6.25575,29.989,AB,Lumen
6.30314,15.9479,R,Wall
6.30314,8.53957,N0,Wall
6.30314,6.18927e-05,N1,Wall
6.30314,0,AB,Wall
6.30314,15.9768,R,Lumen
6.30314,2.80885,N0,Lumen
6.30314,4.91618e-05,N1,Lumen
6.30314,29.9889,AB,Lumen
6.35028,15.947,R,Wall
6.35028,8.67754,N0,Wall
6.35028,6.27387e-05,N1,Wall
6.35028,0,AB,Wall
6.35028,15.9766,R,Lumen
6.35028,2.83062,N0,Lumen
6.35028,4.97506e-05,N1,Lumen
6.35028,29.9888,AB,Lumen
6.39717,15.9462,R,Wall
6.39717,8.81699,N0,Wall
